ID	PERSONID	EMPLOYEETYPEID	ASSIGNEDPOINTS	BADGE	EMPLOYEENUMBER	STARTTIME	ENDTIME	CHANGECOUNTER	MODIFIEDBY	ISSUPERVISOR	ISTEAMLEAD	PREFERREDSTART
54754	10410	1	0	NULL	47049	2011-09-06 05:00:00.000	2011-12-17 05:59:00.000	5	veronicavidaurri	0	0	0
54763	10419	1	0	NULL	46973	2011-09-06 05:00:00.000	NULL	7	jennifer.johnson	0	0	0
54766	10422	1	0	NULL	47240	2011-09-06 05:00:00.000	2012-04-01 04:59:00.000	8	jennifer.johnson	0	0	0
54767	10423	1	0	NULL	NULL	2011-09-12 05:00:00.000	2013-02-02 05:59:00.000	15	tammylewis	0	0	0
54772	10428	1	0	NULL	NULL	2011-09-12 05:00:00.000	2013-02-01 05:59:00.000	14	tammylewis	0	0	0
54773	10429	1	0	NULL	NULL	2011-09-12 05:00:00.000	NULL	13		0	0	0
54774	10430	1	0	NULL	NULL	2011-09-12 05:00:00.000	NULL	11		0	0	0
54775	10431	1	0	NULL	NULL	2011-09-12 05:00:00.000	NULL	17		0	0	0
54779	10435	1	0	NULL	NULL	2011-09-12 05:00:00.000	NULL	13	maryholt	0	0	0
54786	10442	1	0	NULL	NULL	2011-09-12 05:00:00.000	2013-01-11 05:59:00.000	12	tammylewis	0	0	0
54788	10444	1	0	NULL	NULL	2011-09-12 05:00:00.000	2012-01-24 05:59:00.000	3	tammylewis	0	0	0
54790	10446	1	0	NULL	NULL	2011-09-12 05:00:00.000	NULL	12	tammylewis	0	0	0
54799	10455	2	0	NULL	NULL	2011-09-12 05:00:00.000	2012-05-24 04:59:00.000	10	marygaskin	0	0	0
54800	10456	1	0	NULL	NULL	2011-09-12 05:00:00.000	2012-05-23 04:59:00.000	10	tammylewis	0	0	0
54801	10457	1	0	NULL	NULL	2011-09-12 05:00:00.000	2012-07-17 04:59:00.000	9	marygaskin	0	0	0
54804	10460	1	0	NULL	NULL	2011-09-12 05:00:00.000	NULL	10		0	0	0
54807	10463	1	0	NULL	NULL	2011-09-12 05:00:00.000	2011-09-30 04:59:00.000	2	tammylewis	0	0	0
54811	10467	1	0	NULL	NULL	2011-09-12 05:00:00.000	2012-09-01 04:59:00.000	12	tammylewis	0	0	0
54813	10469	1	0	NULL	NULL	2011-09-12 05:00:00.000	NULL	19		0	0	0
54814	10470	1	0	NULL	NULL	2011-09-12 05:00:00.000	NULL	16		0	0	0
